"","player_name","player_team","round","DSSal_Hist","dreamTeamPoints"
"1","Zac Williams","GWS",1,9710,67
"2","Tim Taranto","GWS",1,12940,137
"3","Pearce Hanley","GCS",1,7620,52
"4","Stephen Coniglio","GWS",1,16540,161
"5","Jack Newnes","STK",1,8980,90
"6","Jarrod Witts","GCS",1,13320,95
"7","Jack Billings","STK",1,13590,84
"8","Lewis Pierce","STK",1,7030,47
"9","Peter Wright","GCS",1,8160,63
"10","Toby Greene","GWS",1,9840,64
"11","Sebastian Ross","STK",1,16230,82
"12","Jordan Ridley","ESS",1,6820,57
"13","Aaron Hall","NTH",1,10060,83
"14","Jack Steele","STK",1,15150,111
"15","Dom Tyson","NTH",1,9600,72
"16","Jack Steven","STK",1,13620,90
"17","Nat Fyfe","FRE",1,16530,103
"18","Luke Davies-Uniacke","NTH",1,5650,71
"19","Michael Walters","FRE",1,11430,82
"21","Andrew Brayshaw","FRE",1,10440,66
"22","Jeremy Cameron","GWS",1,10930,69
"23","Jared Polec","NTH",1,12890,94
"24","Brayden Fiorini","GCS",1,13120,114
"25","Lachie Whitfield","GWS",1,16200,109
"26","Dylan Shiel","ESS",1,12720,75
"27","Anthony Miles","GCS",1,10660,96
"28","Dean Kent","STK",1,8090,46
"29","Zach Merrett","ESS",1,16480,50
"30","David Mundy","FRE",1,13310,66
"31","Matthew Parker","STK",1,5000,83
"32","Dyson Heppell","ESS",1,14820,107
"33","Dawson Simpson","GWS",1,9440,68
"34","Luke Ryan","FRE",1,10720,64
"35","Bailey Scott","NTH",1,8000,97
"36","Todd Goldstein","NTH",1,15020,95
"37","Jamie Macmillan","NTH",1,10770,118
"38","Luke Dunstan","STK",1,11870,85
"39","Jade Gresham","STK",1,11680,65
"40","Devon Smith","ESS",1,16380,93
"41","Jacob Hopper","GWS",1,11860,108
"42","Andrew McGrath","ESS",1,10880,84
"43","Darcy Tucker","FRE",1,8860,111
"44","Bradley Hill","FRE",1,11360,113
"45","Josh Bruce","STK",1,7450,79
"46","Shane Savage","STK",1,12430,61
"47","Jimmy Webster","STK",1,11080,60
"48","Tim Membrey","STK",1,10040,76
"49","David Swallow","GCS",1,11890,73
"50","Heath Shaw","GWS",1,13030,77
"51","Rory Lobb","FRE",1,10510,79
"52","Shaun Higgins","NTH",1,14120,95
"53","Luke McDonald","NTH",1,8940,65
"54","Ed Langdon","FRE",1,13030,107
"55","Sean Darcy","FRE",1,10310,71
"56","Jack Martin","GCS",1,12110,75
"57","Touk Miller","GCS",1,12170,91
"58","Christopher Burgess","GCS",1,5000,25
"59","Jack Ziebell","NTH",1,11930,57
"60","Sam Collins","GCS",1,7400,21
"61","Jack Bowes","GCS",1,9600,87
"62","Callum Wilkie","STK",1,5000,46
"63","Tom Bellchambers","ESS",1,12130,50
"64","Ben Cunnington","NTH",1,13640,65
"65","Reece Conca","FRE",1,11510,71
"66","Lachlan Schultz","FRE",1,5000,83
"67","Jarrod Harbrow","GCS",1,11850,65
"68","Lachie Weller","GCS",1,11480,52
"69","Jack Sinclair","STK",1,9870,84
"70","George Horlin-Smith","GCS",1,9840,56
"71","Josh Battle","STK",1,6690,66
"72","Wil Powell","GCS",1,5680,103
"73","Jack Lukosius","GCS",1,7100,50
"74","David Zaharakis","ESS",1,14290,84
"75","Brett Deledio","GWS",1,11920,81
"76","Michael Hurley","ESS",1,11860,68
"77","Nathan Wilson","FRE",1,10020,41
"78","Ben Brown","NTH",1,9490,58
"79","Jasper Pittard","NTH",1,10460,73
"80","Ethan Hughes","FRE",1,7160,55
"81","Travis Colyer","FRE",1,7770,68
"82","Adam Cerra","FRE",1,9310,44
"83","Alex Sexton","GCS",1,9500,78
"84","Jack Hombsch","GCS",1,5870,42
"85","Jarryn Geary","STK",1,10810,66
"86","Jack Lonie","STK",1,9840,92
"87","Jordan Murdoch","GCS",1,9360,43
"88","Darcy MacPherson","GCS",1,10110,96
"89","Ben Ainsworth","GCS",1,9920,25
"90","Darragh Joyce","STK",1,5000,45
"91","Charlie Ballard","GCS",1,6530,89
"92","Adam Kennedy","GWS",1,9790,63
"93","Kyle Langford","ESS",1,12070,81
"94","Shaun McKernan","ESS",1,10420,30
"95","Adam Saad","ESS",1,9400,76
"96","Matt de Boer","GWS",1,11060,62
"97","Jake Stringer","ESS",1,10720,59
"98","Daniel Lloyd","GWS",1,8180,64
"99","Aaron Francis","ESS",1,9120,47
"100","Matt Guelfi","ESS",1,8790,33
"101","Brent Daniels","GWS",1,5880,84
"102","Kayne Turner","NTH",1,7140,63
"103","Trent Dumont","NTH",1,13030,81
"104","Mason Wood","NTH",1,9190,26
"105","Ben McKay","NTH",1,5000,47
"106","Cam McCarthy","FRE",1,6420,109
"107","Jy Simpkin","NTH",1,8450,55
"128","Daniel McKenzie","STK",1,8020,58
"135","Ben Long","STK",1,6950,66
"163","Phil Davis","GWS",1,9310,58
"167","Adam Tomlinson","GWS",1,11030,91
"169","Patrick Ambrose","ESS",1,6240,33
"170","Mark Baguley","ESS",1,8720,41
"171","Mitch Brown","ESS",1,10400,38
"175","Anthony McDonald-Tipungwuti","ESS",1,10860,30
"179","Orazio Fantasia","ESS",1,12140,40
"183","Conor McKenna","ESS",1,9050,45
"185","Sam J. Reid","GWS",1,7120,59
"187","Jeremy Finlayson","GWS",1,7970,43
"188","Harry Himmelberg","GWS",1,10260,50
"190","Lachlan Keeffe","GWS",1,5560,57
"197","David Myers","ESS",1,12030,55
"210","Sam Taylor","GWS",1,5390,59
"224","Shaun Atley","NTH",1,8750,75
"227","Robbie Tarrant","NTH",1,9740,53
"230","Marley Williams","NTH",1,8910,65
"231","Hayden Ballantyne","FRE",1,8070,27
"233","Matt Taberner","FRE",1,9670,91
"234","Alex Pearce","FRE",1,5800,52
"240","Joel Hamling","FRE",1,9080,32
"254","Bailey Banfield","FRE",1,9810,79
"277","Dayne Zorko","BRL",9,13080,118
"278","Darcy Fort","GEE",9,5000,77
"279","Mitchell Hinge","BRL",9,5000,41
"280","Brodie Grundy","COL",9,16430,152
"281","Zach Merrett","ESS",9,15270,125
"282","Tom Liberatore","WBD",9,9470,63
"283","Jackson Trengove","WBD",9,10890,100
"284","Taylor Garner","NTH",9,6930,32
"285","James Rowbottom","SYD",9,5820,25
"286","Jake Lloyd","SYD",9,14110,112
"287","Adam Treloar","COL",9,15750,113
"288","Chris Mayne","COL",9,10230,87
"289","Joe Daniher","ESS",9,8990,74
"290","Josh Dunkley","WBD",9,14560,77
"291","Mitch Duncan","GEE",9,15490,125
"292","Nat Fyfe","FRE",9,15050,74
"293","Jack Ziebell","NTH",9,11790,155
"294","Jack Crisp","COL",9,13690,97
"295","Jeremy Howe","COL",9,10280,48
"296","Cameron Ellis-Yolmen","ADE",9,10820,57
"297","David Zaharakis","ESS",9,12390,125
"298","Josh Begley","ESS",9,5570,54
"299","Scott Pendlebury","COL",9,14260,82
"300","Tom Phillips","COL",9,14190,80
"301","Zach Tuohy","GEE",9,9510,55
"303","Bryce Gibbs","ADE",9,12470,110
"304","Gary Ablett","GEE",9,13690,73
"305","Patrick Dangerfield","GEE",9,15670,88
"306","Dylan Shiel","ESS",9,14170,110
"307","Noah Answerth","BRL",9,7480,21
"308","Jack Macrae","WBD",9,15640,109
"309","Rory Lobb","FRE",9,11680,80
"310","Will Hoskin-Elliott","COL",9,8660,72
"311","Lachie Neale","BRL",9,15380,119
"312","Mitch Robinson","BRL",9,13240,90
"313","Luke McDonald","NTH",9,7620,47
"314","Steele Sidebottom","COL",9,14370,117
"315","Rupert Wills","COL",9,7620,73
"316","Brandan Parfitt","GEE",9,10540,73
"317","Tim Kelly","GEE",9,16040,56
"319","Cameron Zurhaar","NTH",9,7550,53
"320","Luke Dunstan","STK",9,11120,100
"321","Jonathon Marsh","STK",9,5000,53
"322","Josh Battle","STK",9,9600,58
"323","Brad Crouch","ADE",9,14430,132
"324","Luke Dahlhaus","GEE",9,11280,69
"325","Jordan Clark","GEE",9,8170,27
"326","David Mundy","FRE",9,12980,125
"327","Jaidyn Stephenson","COL",9,10310,91
"328","Robert Young","STK",9,5750,55
"329","Rory Sloane","ADE",9,15430,113
"330","Tom Hawkins","GEE",9,12150,59
"331","Tarryn Thomas","NTH",9,8150,42
"332","Nick Blakey","SYD",9,5640,54
"333","Callum L. Brown","COL",9,10090,23
"334","Brody Mihocek","COL",9,9810,93
"335","Hugh McCluggage","BRL",9,12910,97
"336","Chayce Jones","ADE",9,5000,52
"337","Todd Goldstein","NTH",9,12900,73
"338","Robbie Fox","SYD",9,7110,47
"339","Michael Walters","FRE",9,11650,92
"340","Michael Hurley","ESS",9,11800,76
"341","Ben McNiece","ESS",9,6490,41
"342","Matt Guelfi","ESS",9,7270,67
"343","Adam Cerra","FRE",9,8770,41
"344","Brayden Maynard","COL",9,10690,66
"345","Jordan Roughead","COL",9,8100,41
"346","Blake Acres","STK",9,9020,55
"347","Jack Sinclair","STK",9,10020,60
"348","Dayne Beams","COL",9,14490,99
"349","Jarryd Lyons","BRL",9,11780,105
"350","Stefan Martin","BRL",9,12630,83
"351","Daniel Rich","BRL",9,12500,84
"352","Reilly O'Brien","ADE",9,11660,87
"353","Alex Witherden","BRL",9,12410,91
"354","Cameron Guthrie","GEE",9,12030,71
"355","Joel Selwood","GEE",9,12680,75
"356","Gryan Miers","GEE",9,11010,61
"357","Ben Brown","NTH",9,9280,18
"358","Ben Cunnington","NTH",9,12890,97
"359","Isaac Heeney","SYD",9,12190,97
"361","Tom Papley","SYD",9,10780,85
"362","Trent Dumont","NTH",9,13730,99
"363","Mason Wood","NTH",9,8920,24
"364","Nick Larkey","NTH",9,7810,45
"365","Connor Blakely","FRE",9,13130,71
"366","Dyson Heppell","ESS",9,14520,75
"367","Andrew McGrath","ESS",9,11460,60
"368","Dean Kent","STK",9,8340,69
"369","Jack Billings","STK",9,13550,104
"370","Jack Newnes","STK",9,11120,51
"371","Shane Savage","STK",9,12370,103
"372","James Aish","COL",9,9390,55
"373","Ben Reid","COL",9,8640,83
"374","Josh Thomas","COL",9,8330,68
"375","Luke Brown","ADE",9,8310,36
"376","Rory Laird","ADE",9,14850,95
"377","Brodie Smith","ADE",9,11390,88
"378","Taylor Walker","ADE",9,8810,84
"379","Charlie Cameron","BRL",9,8620,90
"380","Rhys Mathieson","BRL",9,8370,65
"381","Alex Keath","ADE",9,10670,51
"382","Jack Henry","GEE",9,6710,39
"383","Tom Stewart","GEE",9,13920,82
"384","Charlie Constable","GEE",9,12470,44
"385","Ed Richards","WBD",9,7050,45
"386","Bailey Smith","WBD",9,9110,81
"387","Shaun Higgins","NTH",9,14020,64
"388","George Hewett","SYD",9,9790,93
"389","Callum Mills","SYD",9,10580,42
"390","Callum Sinclair","SYD",9,11640,86
"391","Jared Polec","NTH",9,12210,88
"392","Jy Simpkin","NTH",9,8910,100
