Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status
8000004,MID,Patrick Cripps,Carlton,Adelaide Crows,15520,109.5,94.67,NAMED IN TEAM TO PLAY
8000005,FWD,Charlie Curnow,Carlton,Adelaide Crows,11290,72.71,79,NAMED IN TEAM TO PLAY
8000007,DEF,Sam Docherty,Carlton,Adelaide Crows,15560,104.29,97.33,NAMED IN TEAM TO PLAY
8000022,DEF,Jacob Weitering,Carlton,Adelaide Crows,8380,56,59.67,NAMED IN TEAM TO PLAY
8000056,RK,Max Gawn,Melbourne,St Kilda,17000,114.14,133.33,NAMED IN TEAM TO PLAY
8000058,MID,James Harmes,Melbourne,St Kilda,11240,77.29,72.67,NAMED IN TEAM TO PLAY
8000066,FWD,Tom McDonald,Melbourne,St Kilda,6900,48,53,NAMED IN TEAM TO PLAY
8000067,MID,Clayton Oliver,Melbourne,St Kilda,16600,110.14,122,NAMED IN TEAM TO PLAY
8000074,MID,Jack Viney,Melbourne,St Kilda,12940,88.67,90.67,NAMED IN TEAM TO PLAY
8000094,MID,Jack Steele,St Kilda,Melbourne,16030,111.43,112.33,NAMED IN TEAM TO PLAY
8000099,DEF,Zac Williams,Carlton,Adelaide Crows,12400,83.83,90.33,"NAMED IN TEAM TO PLAY, Injury Cloud"
8000139,FWD,Jack Martin,Carlton,Adelaide Crows,8930,53.17,65.33,NAMED IN TEAM TO PLAY
8000140,DEF,Steven May,Melbourne,St Kilda,11880,80.29,80,NAMED IN TEAM TO PLAY
8000147,DEF,Adam Saad,Carlton,Adelaide Crows,12070,83.17,82,NAMED IN TEAM TO PLAY
8000153,DEF,Luke Brown,Adelaide Crows,Carlton,7910,54,50,NAMED IN TEAM TO PLAY
8000155,MID,Brad Crouch,St Kilda,Melbourne,14670,100,88.67,NAMED IN TEAM TO PLAY
8000162,MID,Rory Laird,Adelaide Crows,Carlton,16220,107.2,107.67,NAMED IN TEAM TO PLAY
8000163,DEF,Jake Lever,Melbourne,St Kilda,8030,36.67,36.67,NAMED IN TEAM TO PLAY
8000175,FWD,Taylor Walker,Adelaide Crows,Carlton,11310,87.5,86,NAMED IN TEAM TO PLAY
8000178,FWD,Ben Brown,Melbourne,St Kilda,9380,55.75,48.67,NAMED IN TEAM TO PLAY
8000234,MID,Zak Jones,St Kilda,Melbourne,13700,0,0,NAMED IN TEAM TO PLAY
8000385,MID,Luke Dunstan,Melbourne,St Kilda,11170,58.5,58.5,NAMED AS EMERGENCY RESERVE
8000389,MID,Jade Gresham,St Kilda,Melbourne,13150,90.43,94,NAMED IN TEAM TO PLAY
8000389,FWD,Jade Gresham,St Kilda,Melbourne,13150,90.43,94,NAMED IN TEAM TO PLAY
8000394,MID,Jack Newnes,Carlton,Adelaide Crows,10250,76.67,76.67,NAMED IN TEAM TO PLAY
8000397,MID,Sebastian Ross,St Kilda,Melbourne,12780,85.14,98,NAMED IN TEAM TO PLAY
