"Player","Team","Salary","Position","K","H","M","T","FF","FA","HO","B","G","CBA","KI","PO","FP","TOG","PPM"
"Jack Macrae","Western Bulldogs",972000,"MID",20,13,6,10,5,2,0,0,0,18,0,0,143,81,1.44
"Patrick Cripps","Carlton",686000,"MID",12,18,3,8,4,0,0,0,4,26,0,0,141,83,1.3
"Matthew Kennedy","Carlton",720000,"MID",17,20,9,1,2,1,0,2,2,17,0,0,135,78,1.33
"Max Gawn","Melbourne",911000,"RUC",15,8,9,1,1,1,28,0,1,20,0,0,124,88,1.08
"Adam Treloar","Western Bulldogs",731000,"MID/FWD",12,17,6,2,0,0,0,0,2,17,0,0,108,81,1.08
"Marcus Bontempelli","Western Bulldogs",905000,"MID",15,7,6,6,0,0,0,0,1,15,0,0,107,87,1
"Tim English","Western Bulldogs",673000,"RUC/FWD",13,8,8,4,2,1,12,0,0,19,0,0,106,79,1.09
"Lachie Neale","Brisbane Lions",792000,"MID",17,13,4,4,0,2,0,1,1,23,0,0,106,87,0.99
"Josh Dunkley","Western Bulldogs",767000,"MID/FWD",13,19,3,3,1,0,0,0,1,21,0,0,105,81,1.05
"Zac Fisher","Carlton",485000,"FWD",14,10,7,1,1,0,0,0,2,4,0,0,100,86,0.89
"Bailey Smith","Western Bulldogs",733000,"MID",12,10,7,6,0,1,0,1,0,7,0,0,99,82,0.98
"Christian Petracca","Melbourne",930000,"MID",18,9,7,2,1,3,0,3,0,25,0,0,96,87,0.85
"Charlie Cameron","Brisbane Lions",522000,"FWD",16,4,7,2,1,1,0,1,2,0,0,0,96,86,0.91
"Adam Cerra","Carlton",732000,"MID",9,21,2,4,3,0,0,0,0,19,0,0,94,79,0.91
"Hugh McCluggage","Brisbane Lions",839000,"MID",13,9,5,4,2,1,0,1,1,14,0,0,94,81,0.94
"Nic Newman","Carlton",725000,"DEF",16,11,7,1,0,1,0,0,0,0,3,3,92,84,0.84
"Caleb Daniel","Western Bulldogs",729000,"DEF",21,2,5,2,0,0,0,0,0,0,5,4,90,84,0.87
"Mitch McGovern","Carlton",463000,"FWD",15,4,6,4,2,0,0,0,0,0,2,2,89,62,1.1
"George Hewett","Carlton",537000,"DEF/MID",12,21,0,2,0,0,0,1,0,24,0,0,87,79,0.84
"Jarrod Berry","Brisbane Lions",725000,"MID",11,8,6,5,2,1,0,0,0,11,0,0,86,82,0.85
"Adam Saad","Carlton",586000,"DEF",18,7,1,4,1,1,0,0,0,0,1,1,85,84,0.78
"Clayton Oliver","Melbourne",912000,"MID",10,18,3,3,2,2,0,0,0,28,0,0,83,89,0.72
"Bailey Dale","Western Bulldogs",700000,"DEF",17,4,4,1,1,0,0,0,1,0,5,5,82,82,0.81
"Jarryd Lyons","Brisbane Lions",982000,"MID",11,11,2,5,0,0,0,0,0,8,0,0,81,75,0.88
"Alex Neal-Bullen","Melbourne",595000,"FWD",12,8,3,4,0,2,0,1,1,3,0,0,78,78,0.77
"Lochie O'Brien","Carlton",449000,"MID",14,8,4,2,2,3,0,0,1,0,0,0,77,80,0.74
"Bayley Fritsch","Melbourne",516000,"FWD",10,1,2,1,2,0,0,2,5,0,0,0,76,90,0.65
"Marcus Adams","Brisbane Lions",514000,"DEF",11,4,5,5,0,0,0,0,0,0,1,1,76,100,0.62
"Jake Lever","Melbourne",529000,"DEF",9,10,5,2,2,0,0,0,0,0,0,0,72,92,0.6
"Ed Richards","Western Bulldogs",368000,"DEF",9,6,8,2,1,0,0,0,0,0,3,2,72,80,0.73
"Laitham Vandermeer","Western Bulldogs",430000,"FWD",10,10,4,2,1,0,0,1,0,0,0,0,72,79,0.74
"Daniel McStay","Brisbane Lions",548000,"FWD",10,3,7,2,0,3,0,3,2,0,0,0,71,83,0.7
"Hayden Crozier","Western Bulldogs",550000,"DEF",10,6,6,1,2,1,0,0,1,0,0,0,69,81,0.69
"Daniel Rich","Brisbane Lions",823000,"DEF",17,1,4,0,1,1,0,0,1,0,5,4,69,62,0.9
"Tom McDonald","Melbourne",625000,"FWD",11,2,6,2,2,3,0,0,2,0,0,0,68,78,0.67
"James Harmes","Melbourne",690000,"MID",7,10,1,5,1,1,0,0,1,2,0,0,68,68,0.77
"Aaron Naughton","Western Bulldogs",560000,"FWD",7,5,6,0,0,0,0,1,3,0,0,0,68,85,0.65
"Matthew Owies","Carlton",434000,"FWD",5,11,3,4,1,1,0,1,1,0,0,0,67,77,0.67
"Darcy Fort","Brisbane Lions",383000,"RUC",7,5,2,1,2,0,22,1,0,8,0,0,66,84,0.64
"Kysaiah Pickett","Melbourne",539000,"FWD",7,3,2,8,0,0,0,0,0,1,0,0,65,81,0.62
"Ed Langdon","Melbourne",714000,"MID",10,8,3,1,2,1,0,1,1,0,0,0,65,95,0.52
"Bailey Williams","Western Bulldogs",565000,"DEF",13,6,2,0,1,0,0,0,1,0,0,0,64,80,0.65
"Josh Schache","Western Bulldogs",408000,"DEF/FWD",13,2,6,0,3,0,0,0,0,0,1,1,64,100,0.52
"Oscar McDonald","Carlton",343000,"FWD",12,9,4,0,0,1,0,0,0,0,0,0,63,96,0.5
