"playerName","team","CBAs","ruckContests","kickIns","playOn","fantasy"
"Ebony Marinoff","ADEL",7,0,0,0,98
"Stevie-Lee Thompson","ADEL",0,0,0,0,86
"Erin Phillips","ADEL",10,6,0,0,85
"Eloise Jones","ADEL",0,0,0,0,84
"Sarah Allan","ADEL",0,0,0,0,56
"Marijana Rajcic","ADEL",0,0,0,0,53
"Montana McKinnon","ADEL",9,33,0,0,53
"Abbie Ballard","ADEL",0,0,0,0,50
"Nikki Gore","ADEL",0,0,0,0,46
"Hannah Button","ADEL",3,0,0,0,44
"Chelsea Biddell","ADEL",0,0,3,3,43
"Justine Mules","ADEL",0,0,0,0,39
"Teah Charlton","ADEL",0,0,0,0,38
"Anne Hatchard","ADEL",8,1,0,0,37
"Rachelle Martin","ADEL",2,0,0,0,37
"Danielle Ponter","ADEL",0,0,0,0,32
"Ashleigh Woodland","ADEL",0,0,0,0,31
"Jasmyn Hewett","ADEL",1,10,0,0,25
"Najwa Allen","ADEL",0,0,0,0,22
"Ailish Considine","ADEL",0,0,0,0,21
"Jasmine Simmons","ADEL",0,0,0,0,8
"Caitlin Gould","ADEL",0,0,0,0,0
"Hannah Munyard","ADEL",0,0,0,0,0
"Chelsea Randall","ADEL",0,0,0,0,0
"Deni Varnhagen","ADEL",0,0,0,0,0
"Jessica Sedunary","ADEL",0,0,0,0,0
"Angela Foley","ADEL",0,0,0,0,0
"Dayna Cox","ADEL",0,0,0,0,0
"Rhiannon Metcalfe","ADEL",0,0,0,0,0
"McKenzie Dowrick","ADEL",0,0,0,0,0
"Lisa Whiteley","ADEL",0,0,0,0,0
"Madison Newman","ADEL",0,0,0,0,0
"Zoe Prowse","ADEL",0,0,0,0,0
"Brooke Tonon","ADEL",0,0,0,0,0
"Emily Bates","BL",10,0,0,0,84
"Orla O'Dwyer","BL",0,0,0,0,77
"Greta Bodey","BL",0,0,0,0,69
"Tahlia Hickie","BL",12,27,0,0,65
"Alexandra Anderson","BL",12,0,0,0,60
"Natalie Grider","BL",0,0,0,0,59
"Jessica Wuetschner","BL",0,0,0,0,59
"Zimmorlei Farquharson","BL",0,0,0,0,58
