"Player","Team","Salary","Position","K","H","M","T","FF","FA","HO","B","G","CBA","KI","PO","FP","TOG","PPM"
"Jack Macrae","Western Bulldogs",972000,"MID",20,13,6,10,5,2,0,0,0,18,0,0,143,81,1.44
"Patrick Cripps","Carlton",686000,"MID",12,18,3,8,4,0,0,0,4,26,0,0,141,83,1.3
"Matthew Kennedy","Carlton",720000,"MID",17,20,9,1,2,1,0,2,2,17,0,0,135,78,1.33
"Jayden Short","Richmond",783000,"DEF",26,5,8,3,2,0,0,0,0,0,9,6,126,83,1.25
"Max Gawn","Melbourne",911000,"RUC",15,8,9,1,1,1,28,0,1,20,0,0,124,88,1.08
"Josh Kelly","GWS Giants",870000,"MID",17,24,3,4,1,1,0,0,0,13,0,0,122,86,1.12
"Tim Taranto","GWS Giants",904000,"MID/FWD",20,11,9,1,1,2,1,1,2,6,0,0,122,97,1
"Stephen Coniglio","GWS Giants",695000,"MID/FWD",16,11,10,5,0,0,0,0,0,15,0,0,120,77,1.23
"Callan Ward","GWS Giants",703000,"MID",20,10,11,1,1,0,0,0,0,0,0,0,118,78,1.2
"Luke Ryan","Fremantle",733000,"DEF",18,6,13,4,0,1,0,0,0,0,4,2,118,79,1.3
"Liam Baker","Richmond",610000,"DEF",10,16,6,4,2,0,0,0,2,3,0,0,110,81,1.12
"Tristan Xerri","North Melbourne",281000,"FWD",8,9,5,6,3,1,29,0,0,16,0,0,110,89,1.01
"Tim Kelly","West Coast Eagles",707000,"MID",19,13,4,2,2,1,0,2,1,21,0,0,110,76,1.25
"Reilly O'Brien","Adelaide Crows",723000,"RUC",6,9,6,4,6,2,33,0,1,27,0,0,109,82,1.03
"Ollie Wines","Port Adelaide",938000,"MID",14,23,2,3,3,0,0,0,0,22,0,0,109,83,1.02
"Adam Treloar","Western Bulldogs",731000,"MID/FWD",12,17,6,2,0,0,0,0,2,17,0,0,108,81,1.08
"Marcus Bontempelli","Western Bulldogs",905000,"MID",15,7,6,6,0,0,0,0,1,15,0,0,107,87,1
"Zak Butters","Port Adelaide",639000,"FWD",16,16,8,2,3,5,0,1,1,15,0,0,107,85,0.97
"Justin McInerney","Sydney Swans",583000,"DEF/MID",15,15,5,2,3,0,0,0,1,4,0,0,107,83,1.05
"Tim English","Western Bulldogs",673000,"RUC/FWD",13,8,8,4,2,1,12,0,0,19,0,0,106,79,1.09
"Lachie Neale","Brisbane Lions",792000,"MID",17,13,4,4,0,2,0,1,1,23,0,0,106,87,0.99
"Connor Rozee","Port Adelaide",567000,"FWD",13,10,5,4,3,0,0,1,2,7,0,0,106,79,1.04
"Josh Dunkley","Western Bulldogs",767000,"MID/FWD",13,19,3,3,1,0,0,0,1,21,0,0,105,81,1.05
"Riley Bonner","Port Adelaide",576000,"DEF/MID",22,9,7,2,1,3,0,0,0,0,6,5,105,86,0.94
"Oliver Florent","Sydney Swans",609000,"MID",19,6,8,2,1,1,0,0,1,8,0,0,105,79,1.08
"Trent Cotchin","Richmond",636000,"MID",12,14,6,5,2,0,0,0,0,16,0,0,104,67,1.28
"Andrew Brayshaw","Fremantle",875000,"MID",14,16,3,5,2,3,0,0,1,15,0,0,102,77,1.15
"Rowan Marshall","St Kilda",752000,"RUC",17,7,5,0,6,1,18,0,0,18,0,0,101,81,1.04
"Chad Warner","Sydney Swans",579000,"MID",15,12,3,7,0,2,0,1,0,6,0,0,101,76,1.08
"Zac Fisher","Carlton",485000,"FWD",14,10,7,1,1,0,0,0,2,4,0,0,100,86,0.89
"Darcy Byrne-Jones","Port Adelaide",643000,"DEF",14,10,4,7,1,1,0,0,0,0,1,1,100,85,0.91
"Isaac Heeney","Sydney Swans",639000,"FWD",10,7,4,7,1,3,0,0,4,5,0,0,100,72,1.13
"Bailey Smith","Western Bulldogs",733000,"MID",12,10,7,6,0,1,0,1,0,7,0,0,99,82,0.98
"Nick Daicos","Collingwood",284000,"MID",17,14,5,1,1,0,0,0,0,9,0,0,99,87,0.9
"Travis Boak","Port Adelaide",819000,"MID",11,15,3,4,1,1,0,0,2,17,0,0,98,83,0.91
"Jye Caldwell","Essendon",488000,"MID",15,9,4,5,5,1,0,1,0,12,0,0,98,75,1.09
"Luke Davies-Uniacke","North Melbourne",684000,"MID",15,7,2,7,5,0,0,0,0,15,0,0,98,84,0.95
"Karl Amon","Port Adelaide",828000,"MID",13,10,4,5,3,1,0,0,1,8,0,0,97,80,0.94
"Nick Blakey","Sydney Swans",501000,"DEF",19,9,5,3,1,2,0,0,0,0,3,3,97,80,0.99
"Michael Walters","Fremantle",516000,"FWD",14,2,10,2,0,0,0,1,2,0,0,0,97,76,1.11
"Christian Petracca","Melbourne",930000,"MID",18,9,7,2,1,3,0,3,0,25,0,0,96,87,0.85
"Charlie Cameron","Brisbane Lions",522000,"FWD",16,4,7,2,1,1,0,1,2,0,0,0,96,86,0.91
"Conor Nash","Hawthorn",466000,"MID/FWD",13,11,4,7,0,2,0,1,0,14,0,0,96,77,1.03
"Ryan Burton","Port Adelaide",616000,"DEF",16,14,5,2,3,2,0,0,0,0,1,1,96,79,0.94
