"playerName","team","CBAs","ruckContests","kickIns","playOn","fantasy"
"Anne Hatchard","ADEL",9,1,0,0,122
"Erin Phillips","ADEL",9,7,0,0,100
"Ebony Marinoff","ADEL",9,0,0,0,89
"Sarah Allan","ADEL",0,0,1,1,64
"Rachelle Martin","ADEL",0,0,0,0,62
"Madison Newman","ADEL",0,0,1,1,61
"Teah Charlton","ADEL",1,0,0,0,60
"Hannah Button","ADEL",2,0,0,0,58
"Caitlin Gould","ADEL",5,21,0,0,58
"Ashleigh Woodland","ADEL",0,0,0,0,52
"Nikki Gore","ADEL",0,0,0,0,46
"Montana McKinnon","ADEL",5,18,0,0,39
"Najwa Allen","ADEL",0,0,0,0,37
"Abbie Ballard","ADEL",0,0,0,0,37
"Eloise Jones","ADEL",0,0,0,0,33
"Marijana Rajcic","ADEL",0,0,1,1,31
"Ailish Considine","ADEL",0,0,0,0,30
"Chelsea Biddell","ADEL",0,0,0,0,28
"Lisa Whiteley","ADEL",0,0,0,0,27
"Jasmine Simmons","ADEL",0,0,0,0,21
"Chelsea Randall","ADEL",0,0,0,0,8
"Stevie-Lee Thompson","ADEL",0,0,0,0,0
"Justine Mules","ADEL",0,0,0,0,0
"Danielle Ponter","ADEL",0,0,0,0,0
"Hannah Munyard","ADEL",0,0,0,0,0
"Jasmyn Hewett","ADEL",0,0,0,0,0
"Deni Varnhagen","ADEL",0,0,0,0,0
"Jessica Sedunary","ADEL",0,0,0,0,0
"Ange Foley","ADEL",0,0,0,0,0
"Dayna Cox","ADEL",0,0,0,0,0
"Rhiannon Metcalfe","ADEL",0,0,0,0,0
"McKenzie Dowrick","ADEL",0,0,0,0,0
"Zoe Prowse","ADEL",0,0,0,0,0
"Brooke Tonon","ADEL",0,0,0,0,0
"Emily Bates","BL",4,0,0,0,104
"Natalie Grider","BL",0,0,0,0,81
"Tahlia Hickie","BL",9,44,0,0,68
"Jesse Wardlaw","BL",2,12,0,0,62
"Alexandra Anderson","BL",8,0,0,0,59
"Dakota Davidson","BL",0,2,0,0,54
"Isabel Dawes","BL",9,0,0,0,53
"Greta Bodey","BL",0,0,0,0,51
"Orla O'Dwyer","BL",0,0,0,0,50
"Courtney Hodder","BL",4,0,0,0,48
"Phoebe Monahan","BL",0,0,0,0,47
"Sophie Conway","BL",0,0,0,0,42
"Breanna Koenen","BL",0,0,1,1,38
"Jade Ellenger","BL",0,0,0,0,37
"Catherine Svarc","BL",8,0,0,0,33
"Jessica Wuetschner","BL",0,0,0,0,28
"Shannon Campbell","BL",0,0,0,0,20
"Zimmorlei Farquharson","BL",0,0,0,0,9
"Indy Tahau","BL",0,0,0,0,7
"Sharni Webb","BL",0,0,0,0,4
"Gabrielle Collingwood","BL",0,0,0,0,4
"Taylor Smith","BL",0,0,0,0,0
"Maria Moloney","BL",0,0,0,0,0
"Ruby Svarc","BL",0,0,0,0,0
"Kate Lutkins","BL",0,0,0,0,0
"Lily Postlethwaite","BL",0,0,0,0,0
"Mikayla Pauga","BL",0,0,0,0,0
"Maggie Harmer","BL",0,0,0,0,0
"Bella Smith","BL",0,0,0,0,0
"Lucinda Pullar","BL",0,0,0,0,0
"Luka Yoshida-Martin","BL",0,0,0,0,0
"Breann Moody","CARL",14,33,0,0,77
"Keeley Sherar","CARL",7,0,0,0,70
"Kerryn Harrington","CARL",0,0,7,7,65
"Georgia Gee","CARL",3,0,0,0,64
"Madison Prespakis","CARL",11,0,0,0,63
"Lucy McEvoy","CARL",5,0,0,0,61
"Lauren Brazzale","CARL",0,0,0,0,61
"Paige Trudgeon","CARL",0,0,0,0,61
"Daisy Walker","CARL",0,0,0,0,49
"Elise O'Dea","CARL",6,0,0,0,47
"Nicola Stevens","CARL",0,0,0,0,45
"Vaomua Laloifi","CARL",0,0,0,0,44
"Abbie McKay","CARL",8,0,0,0,42
"Charlotte Wilson","CARL",0,8,0,0,37
"Natalie Plane","CARL",0,0,1,1,33
"Brooke Vickers","CARL",0,0,0,0,33
"Darcy Vescio","CARL",0,0,0,0,31
"Courtney Jones","CARL",0,0,0,0,29
"Brooke Walker","CARL",0,0,0,0,22
"Jessica Dal Pos","CARL",2,0,1,1,21
"Poppy Schaap","CARL",0,0,0,0,7
"Gabriella Pound","CARL",0,0,0,0,0
"Madeline Guerin","CARL",0,0,0,0,0
"Annie Lee","CARL",0,0,0,0,0
"Jess Good","CARL",0,0,0,0,0
"Charlotte Hammans","CARL",0,0,0,0,0
"Grace Egan","CARL",0,0,0,0,0
"Imogen Milford","CARL",0,0,0,0,0
"Brooke Vernon","CARL",0,0,0,0,0
"Serena Gibbs","CARL",0,0,0,0,0
"Mimi Hill","CARL",0,0,0,0,0
"Brittany Bonnici","COLL",9,0,0,0,87
"Sarah Rowe","COLL",0,0,0,0,84
"Ruby Schleicher","COLL",0,0,1,1,62
"Jaimee Lambert","COLL",7,0,0,0,57
"Lauren Butler","COLL",0,0,4,4,48
"Stephanie Chiocci","COLL",1,0,0,0,46
"Ebony O'Dea","COLL",3,1,0,0,44
