"playerName","team","CBAs","ruckContests","kickIns","playOn","fantasy"
"Anne Hatchard","ADEL",0,0,0,0,0
"Ebony Marinoff","ADEL",0,0,0,0,0
"Erin Phillips","ADEL",0,0,0,0,0
"Eloise Jones","ADEL",0,0,0,0,0
"Sarah Allan","ADEL",0,0,0,0,0
"Stevie-Lee Thompson","ADEL",0,0,0,0,0
"Marijana Rajcic","ADEL",0,0,0,0,0
"Nikki Gore","ADEL",0,0,0,0,0
"Rachelle Martin","ADEL",0,0,0,0,0
"Najwa Allen","ADEL",0,0,0,0,0
"Ashleigh Woodland","ADEL",0,0,0,0,0
"Montana McKinnon","ADEL",0,0,0,0,0
"Teah Charlton","ADEL",0,0,0,0,0
"Chelsea Biddell","ADEL",0,0,0,0,0
"Hannah Button","ADEL",0,0,0,0,0
"Justine Mules","ADEL",0,0,0,0,0
"Caitlin Gould","ADEL",0,0,0,0,0
"Danielle Ponter","ADEL",0,0,0,0,0
"Jasmine Simmons","ADEL",0,0,0,0,0
"Ailish Considine","ADEL",0,0,0,0,0
"Maddi Newman","ADEL",0,0,0,0,0
"Hannah Munyard","ADEL",0,0,0,0,0
"Abbie Ballard","ADEL",0,0,0,0,0
"Chelsea Randall","ADEL",0,0,0,0,0
"Lisa Whiteley","ADEL",0,0,0,0,0
"Jasmyn Hewett","ADEL",0,0,0,0,0
"Deni Varnhagen","ADEL",0,0,0,0,0
"Jessica Sedunary","ADEL",0,0,0,0,0
"Ange Foley","ADEL",0,0,0,0,0
"Dayna Cox","ADEL",0,0,0,0,0
"Rhiannon Metcalfe","ADEL",0,0,0,0,0
"McKenzie Dowrick","ADEL",0,0,0,0,0
"Zoe Prowse","ADEL",0,0,0,0,0
"Brooke Tonon","ADEL",0,0,0,0,0
"Emily Bates","BL",0,0,0,0,0
"Alexandra Anderson","BL",0,0,0,0,0
"Orla O'Dwyer","BL",0,0,0,0,0
"Natalie Grider","BL",0,0,0,0,0
"Jade Ellenger","BL",0,0,0,0,0
"Greta Bodey","BL",0,0,0,0,0
"Phoebe Monahan","BL",0,0,0,0,0
"Isabel Dawes","BL",0,0,0,0,0
"Jesse Wardlaw","BL",0,0,0,0,0
"Breanna Koenen","BL",0,0,0,0,0
"Catherine Svarc","BL",0,0,0,0,0
"Sophie Conway","BL",0,0,0,0,0
"Tahlia Hickie","BL",0,0,0,0,0
"Courtney Hodder","BL",0,0,0,0,0
"Shannon Campbell","BL",0,0,0,0,0
"Indy Tahau","BL",0,0,0,0,0
"Jessica Wuetschner","BL",0,0,0,0,0
"Zimmorlei Farquharson","BL",0,0,0,0,0
"Taylor Smith","BL",0,0,0,0,0
"Dakota Davidson","BL",0,0,0,0,0
"Ruby Svarc","BL",0,0,0,0,0
"Sharni Webb","BL",0,0,0,0,0
"Maria Moloney","BL",0,0,0,0,0
"Lucinda Pullar","BL",0,0,0,0,0
"Kate Lutkins","BL",0,0,0,0,0
"Lily Postlethwaite","BL",0,0,0,0,0
"Gabrielle Collingwood","BL",0,0,0,0,0
"Mikayla Pauga","BL",0,0,0,0,0
"Maggie Harmer","BL",0,0,0,0,0
"Bella Smith","BL",0,0,0,0,0
"Luka Yoshida-Martin","BL",0,0,0,0,0
"Madison Prespakis","CARL",0,0,0,0,0
"Kerryn Harrington","CARL",0,0,0,0,0
"Abbie McKay","CARL",0,0,0,0,0
"Lucy McEvoy","CARL",0,0,0,0,0
"Georgia Gee","CARL",0,0,0,0,0
"Elise O'Dea","CARL",0,0,0,0,0
"Paige Trudgeon","CARL",0,0,0,0,0
"Breann Moody","CARL",0,0,0,0,0
"Daisy Walker","CARL",0,0,0,0,0
"Vaomua Laloifi","CARL",0,0,0,0,0
"Courtney Jones","CARL",0,0,0,0,0
"Lauren Brazzale","CARL",0,0,0,0,0
"Natalie Plane","CARL",0,0,0,0,0
"Darcy Vescio","CARL",0,0,0,0,0
"Nicola Stevens","CARL",0,0,0,0,0
"Gabriella Pound","CARL",0,0,0,0,0
"Jessica Dal Pos","CARL",0,0,0,0,0
"Brooke Walker","CARL",0,0,0,0,0
"Mimi Hill","CARL",0,0,0,0,0
"Keeley Sherar","CARL",0,0,0,0,0
"Madeline Guerin","CARL",0,0,0,0,0
"Grace Egan","CARL",0,0,0,0,0
"Brooke Vickers","CARL",0,0,0,0,0
"Jess Good","CARL",0,0,0,0,0
"Annie Lee","CARL",0,0,0,0,0
"Charlotte Wilson","CARL",0,0,0,0,0
"Charlotte Hammans","CARL",0,0,0,0,0
"Poppy Schaap","CARL",0,0,0,0,0
"Imogen Milford","CARL",0,0,0,0,0
"Brooke Vernon","CARL",0,0,0,0,0
"Serena Gibbs","CARL",0,0,0,0,0
"Jaimee Lambert","COLL",0,0,0,0,0
"Brittany Bonnici","COLL",0,0,0,0,0
"Sarah Rowe","COLL",0,0,0,0,0
"Ruby Schleicher","COLL",0,0,0,0,0
"Lauren Butler","COLL",0,0,0,0,0
"Mikala Cann","COLL",0,0,0,0,0
"Jordyn Allen","COLL",0,0,0,0,0
"Aishling Sheridan","COLL",0,0,0,0,0
"Alison Downie","COLL",0,0,0,0,0
"Stacey Livingstone","COLL",0,0,0,0,0
"Stephanie Chiocci","COLL",0,0,0,0,0
"Sabrina Frederick","COLL",0,0,0,0,0
"Eliza James","COLL",0,0,0,0,0
"Ebony O'Dea","COLL",0,0,0,0,0
"Sophie Casey","COLL",0,0,0,0,0
"Amelia Velardo","COLL",0,0,0,0,0
"Chloe Molloy","COLL",0,0,0,0,0
"Alana Porter","COLL",0,0,0,0,0
"Sophie Alexander","COLL",0,0,0,0,0
"Tarni Brown","COLL",0,0,0,0,0
"Eloise Chaston","COLL",0,0,0,0,0
"Erica Fowler","COLL",0,0,0,0,0
"Brianna Davey","COLL",0,0,0,0,0
"Aliesha Newman","COLL",0,0,0,0,0
"Bella Smith","COLL",0,0,0,0,0
"Imogen Barnett","COLL",0,0,0,0,0
"Jordan Membrey","COLL",0,0,0,0,0
"Ashleigh Brazill","COLL",0,0,0,0,0
"Olivia Meagher","COLL",0,0,0,0,0
"Joanna Lin","COLL",0,0,0,0,0
"Abbi Moloney","COLL",0,0,0,0,0
"Imogen Purcell","COLL",0,0,0,0,0
"Kiara Bowers","FRE",0,0,0,0,0
"Hayley Miller","FRE",0,0,0,0,0
"Gabby O'Sullivan","FRE",0,0,0,0,0
"Ebony Antonio","FRE",0,0,0,0,0
"Stephanie Cain","FRE",0,0,0,0,0
"Airlie Runnalls","FRE",0,0,0,0,0
"Sarah Verrier","FRE",0,0,0,0,0
"Gemma Houghton","FRE",0,0,0,0,0
"Laura Pugh","FRE",0,0,0,0,0
"Angelique Stannett","FRE",0,0,0,0,0
"Aine Tighe","FRE",0,0,0,0,0
"Dana East","FRE",0,0,0,0,0
"Emma O'Driscoll","FRE",0,0,0,0,0
"Mim Strom","FRE",0,0,0,0,0
"Mikayla Hyde","FRE",0,0,0,0,0
"Jessica Low","FRE",0,0,0,0,0
"Tiah Toth","FRE",0,0,0,0,0
"Kara Antonio","FRE",0,0,0,0,0
"Ann McMahon","FRE",0,0,0,0,0
"Roxanne Roux","FRE",0,0,0,0,0
"Matilda Sergeant","FRE",0,0,0,0,0
"Makaela Tuhakaraina","FRE",0,0,0,0,0
"Janelle Cuthbertson","FRE",0,0,0,0,0
"Mikayla Morrison","FRE",0,0,0,0,0
"Bianca Webb","FRE",0,0,0,0,0
"Jasmin Stewart","FRE",0,0,0,0,0
"Amy Franklin","FRE",0,0,0,0,0
"Ashley Sharp","FRE",0,0,0,0,0
"Sabreena Duffy","FRE",0,0,0,0,0
"Philipa Seth","FRE",0,0,0,0,0
"Sarah Wielstra","FRE",0,0,0,0,0
"Maggie Maclachlan","FRE",0,0,0,0,0
"Alison Drennan","GCFC",0,0,0,0,0
"Jamie Stanton","GCFC",0,0,0,0,0
"Charlie Rowbottom","GCFC",0,0,0,0,0
"Lauren Ahrens","GCFC",0,0,0,0,0
"Kalinda Howarth","GCFC",0,0,0,0,0
"Elizabeth Keaney","GCFC",0,0,0,0,0
"Kate Surman","GCFC",0,0,0,0,0
"Serene Watson","GCFC",0,0,0,0,0
"Daisy D'Arcy","GCFC",0,0,0,0,0
"Claudia Whitfort","GCFC",0,0,0,0,0
"Tara Bohanna","GCFC",0,0,0,0,0
"Hannah Dunn","GCFC",0,0,0,0,0
"Ellie Hampson","GCFC",0,0,0,0,0
"Lauren Bella","GCFC",0,0,0,0,0
"Sarah Perkins","GCFC",0,0,0,0,0
"Jacqui Yorston","GCFC",0,0,0,0,0
"Dee Heslop","GCFC",0,0,0,0,0
"Vivien Saad","GCFC",0,0,0,0,0
"Jade Pregelj","GCFC",0,0,0,0,0
"Jacqui Dupuy","GCFC",0,0,0,0,0
"Cheyenne Hammond","GCFC",0,0,0,0,0
"Lucy Single","GCFC",0,0,0,0,0
"Brittany Perry","GCFC",0,0,0,0,0
"Shannon Danckert","GCFC",0,0,0,0,0
"Ashanti Bush","GCFC",0,0,0,0,0
"Tori Groves-Little","GCFC",0,0,0,0,0
"Alana Barba","GCFC",0,0,0,0,0
"Janet Baird","GCFC",0,0,0,0,0
"Emma Pittman","GCFC",0,0,0,0,0
"Wallis Randell","GCFC",0,0,0,0,0
"Annise Bradfield","GCFC",0,0,0,0,0
"Maddison Levi","GCFC",0,0,0,0,0
"Teagan Levi","GCFC",0,0,0,0,0
"Giselle Davies","GCFC",0,0,0,0,0
"Amy McDonald","GEEL",0,0,0,0,0
"Rebecca Webster","GEEL",0,0,0,0,0
"Georgie Prespakis","GEEL",0,0,0,0,0
"Madeline Keryk","GEEL",0,0,0,0,0
"Maddy McMahon","GEEL",0,0,0,0,0
"Darcy Moloney","GEEL",0,0,0,0,0
"Chantel Emonson","GEEL",0,0,0,0,0
"Meghan McDonald","GEEL",0,0,0,0,0
"Nina Morrison","GEEL",0,0,0,0,0
"Olivia Fuller","GEEL",0,0,0,0,0
"Zali Friswell","GEEL",0,0,0,0,0
"Georgie Rankin","GEEL",0,0,0,0,0
"Kate Darby","GEEL",0,0,0,0,0
"Annabel Johnson","GEEL",0,0,0,0,0
"Jordan Ivey","GEEL",0,0,0,0,0
"Julia Crockett-Grills","GEEL",0,0,0,0,0
"Sophie Van De Heuvel","GEEL",0,0,0,0,0
"Rachel Kearns","GEEL",0,0,0,0,0
"Chloe Scheer","GEEL",0,0,0,0,0
"Phoebe McWilliams","GEEL",0,0,0,0,0
"Gabbi Featherston","GEEL",0,0,0,0,0
"Claudia Gunjaca","GEEL",0,0,0,0,0
"Laura Gardiner","GEEL",0,0,0,0,0
"Madisen Maguire","GEEL",0,0,0,0,0
"Danielle Higgins","GEEL",0,0,0,0,0
"Georgia Clarke","GEEL",0,0,0,0,0
"Rene Caris","GEEL",0,0,0,0,0
"Denby Taylor","GEEL",0,0,0,0,0
"Millie Brown","GEEL",0,0,0,0,0
"Renee Garing","GEEL",0,0,0,0,0
"Stephanie Williams","GEEL",0,0,0,0,0
"Olivia Barber","GEEL",0,0,0,0,0
"Carly Remmos","GEEL",0,0,0,0,0
"Alyce Parker","GWS",0,0,0,0,0
"Alicia Eva","GWS",0,0,0,0,0
"Nicola Barr","GWS",0,0,0,0,0
"Katherine Smith","GWS",0,0,0,0,0
"Haneen Zreika","GWS",0,0,0,0,0
"Lisa Steane","GWS",0,0,0,0,0
"Brid Stack","GWS",0,0,0,0,0
"Ally Dallaway","GWS",0,0,0,0,0
"Tanya Hetherington","GWS",0,0,0,0,0
"Emily Pease","GWS",0,0,0,0,0
"Pepa Randall","GWS",0,0,0,0,0
"Louise Stephenson","GWS",0,0,0,0,0
"Georgia Garnett","GWS",0,0,0,0,0
"Annalyse Lister","GWS",0,0,0,0,0
"Cora Staunton","GWS",0,0,0,0,0
"Ally Morphett","GWS",0,0,0,0,0
"Rebecca Privitelli","GWS",0,0,0,0,0
"Rebecca Beeson","GWS",0,0,0,0,0
"Chloe Dalton","GWS",0,0,0,0,0
"Tait Mackrill","GWS",0,0,0,0,0
"Katie Loynes","GWS",0,0,0,0,0
"Erin McKinnon","GWS",0,0,0,0,0
"Erin Lorenzini","GWS",0,0,0,0,0
"Jasmine Grierson","GWS",0,0,0,0,0
"Jessica Doyle","GWS",0,0,0,0,0
"Libby Graham","GWS",0,0,0,0,0
"Casidhe Simmons","GWS",0,0,0,0,0
"Brodee Mowbray","GWS",0,0,0,0,0
"Georgina Fowler","GWS",0,0,0,0,0
"Jessica Allan","GWS",0,0,0,0,0
"Tarni Evans","GWS",0,0,0,0,0
"Emily Goodsir","GWS",0,0,0,0,0
"Ruby Sargent-Wilson","GWS",0,0,0,0,0
"Isadora McLeay","GWS",0,0,0,0,0
"Tanya Kennedy","GWS",0,0,0,0,0
"Karen Paxman","MELB",0,0,0,0,0
"Libby Birch","MELB",0,0,0,0,0
"Tyla Hanks","MELB",0,0,0,0,0
"Eden Zanker","MELB",0,0,0,0,0
"Sarah Lampard","MELB",0,0,0,0,0
"Lauren Pearce","MELB",0,0,0,0,0
"Eliza McNamara","MELB",0,0,0,0,0
"Lily Mithen","MELB",0,0,0,0,0
"Eliza West","MELB",0,0,0,0,0
"Kate Hore","MELB",0,0,0,0,0
"Megan Fitzsimon","MELB",0,0,0,0,0
"Casey Sherriff","MELB",0,0,0,0,0
"Sinead Goldrick","MELB",0,0,0,0,0
"Daisy Pearce","MELB",0,0,0,0,0
"Jacqueline Parry","MELB",0,0,0,0,0
"Shelley Heath","MELB",0,0,0,0,0
"Alyssa Bannan","MELB",0,0,0,0,0
"Tayla Harris","MELB",0,0,0,0,0
"Shelley Scott","MELB",0,0,0,0,0
"Maddison Gay","MELB",0,0,0,0,0
"Gabrielle Colvin","MELB",0,0,0,0,0
"Brenna Tarrant","MELB",0,0,0,0,0
"Maggie Caris","MELB",0,0,0,0,0
"Lauren Magee","MELB",0,0,0,0,0
"Alison Brown","MELB",0,0,0,0,0
"Krstel Petrevski","MELB",0,0,0,0,0
"Jordan Zanchetta","MELB",0,0,0,0,0
"Olivia Purcell","MELB",0,0,0,0,0
"Tahlia Gillard","MELB",0,0,0,0,0
"Isabella Simmons","MELB",0,0,0,0,0
"Maeve Chaplin","MELB",0,0,0,0,0
"Georgia Campbell","MELB",0,0,0,0,0
"Ashleigh Riddell","NMFC",0,0,0,0,0
"Jasmine Garner","NMFC",0,0,0,0,0
"Jenna Bruton","NMFC",0,0,0,0,0
"Mia King","NMFC",0,0,0,0,0
"Emma Kearney","NMFC",0,0,0,0,0
"Aileen Gilroy","NMFC",0,0,0,0,0
"Ellie Gavalas","NMFC",0,0,0,0,0
"Kaitlyn Ashmore","NMFC",0,0,0,0,0
"Jessica Duffin","NMFC",0,0,0,0,0
"Isabella Eddey","NMFC",0,0,0,0,0
"Brooke Brown","NMFC",0,0,0,0,0
"Nicole Bresnehan","NMFC",0,0,0,0,0
"Emma King","NMFC",0,0,0,0,0
"Daisy Bateman","NMFC",0,0,0,0,0
"Jasmine Ferguson","NMFC",0,0,0,0,0
"Sophie Abbatangelo","NMFC",0,0,0,0,0
"Daria Bannister","NMFC",0,0,0,0,0
"Tahlia Randall","NMFC",0,0,0,0,0
"Kimberley Rennie","NMFC",0,0,0,0,0
"Amy Smith","NMFC",0,0,0,0,0
"Sarah Wright","NMFC",0,0,0,0,0
"Alice O'Loughlin","NMFC",0,0,0,0,0
"Danielle Hardiman","NMFC",0,0,0,0,0
"Grace Campbell","NMFC",0,0,0,0,0
"Tess Craven","NMFC",0,0,0,0,0
"Alexia Hamilton","NMFC",0,0,0,0,0
"Brittany Gibson","NMFC",0,0,0,0,0
"Elisha King","NMFC",0,0,0,0,0
"Tara Slender","NMFC",0,0,0,0,0
"Perri King","NMFC",0,0,0,0,0
"Ella Maurer","NMFC",0,0,0,0,0
"Monique Conti","RICH",0,0,0,0,0
"Gabrielle Seymour","RICH",0,0,0,0,0
"Rebecca Miller","RICH",0,0,0,0,0
"Kate Dempsey","RICH",0,0,0,0,0
"Jess Hosking","RICH",0,0,0,0,0
"Katie Brennan","RICH",0,0,0,0,0
"Sarah Hosking","RICH",0,0,0,0,0
"Maddy Brancatisano","RICH",0,0,0,0,0
"Tessa Lavey","RICH",0,0,0,0,0
"Maddie Shevlin","RICH",0,0,0,0,0
"Meagan Kiely","RICH",0,0,0,0,0
"Sarah D'Arcy","RICH",0,0,0,0,0
"Christina Bernardi","RICH",0,0,0,0,0
"Bethany Lynch","RICH",0,0,0,0,0
"Kodi Jacques","RICH",0,0,0,0,0
"Hannah Burchell","RICH",0,0,0,0,0
"Harriet Cordner","RICH",0,0,0,0,0
"Emelia Yassir","RICH",0,0,0,0,0
"Tayla Stahl","RICH",0,0,0,0,0
"Sarah Sansonetti","RICH",0,0,0,0,0
"Stella Reid","RICH",0,0,0,0,0
"Sophie Molan","RICH",0,0,0,0,0
"Courtney Wakefield","RICH",0,0,0,0,0
"Laura McClelland","RICH",0,0,0,0,0
"Poppy Kelly","RICH",0,0,0,0,0
"Sarah Dargan","RICH",0,0,0,0,0
"Ellie McKenzie","RICH",0,0,0,0,0
"Meg Macdonald","RICH",0,0,0,0,0
"Iilish Ross","RICH",0,0,0,0,0
"Hannah McLaren","RICH",0,0,0,0,0
"Ingrid Houtsma","RICH",0,0,0,0,0
"Akec Makur Chuot","RICH",0,0,0,0,0
"Akayla Peterson","RICH",0,0,0,0,0
"Tarni White","STK",7,0,0,0,78
"Hannah Priest","STK",0,0,3,3,70
"Tilly Lucas-Rodd","STK",8,0,0,0,62
"Bianca Jakobsson","STK",0,0,6,5,58
