"playerName","team","CBAs","ruckContests","kickIns","playOn","fantasy"
"Anne Hatchard","ADEL",7,4,0,0,120
"Ebony Marinoff","ADEL",9,0,0,0,97
"Eloise Jones","ADEL",0,0,0,0,70
"Erin Phillips","ADEL",4,0,0,0,66
"Caitlin Gould","ADEL",7,27,0,0,59
"Rachelle Martin","ADEL",9,0,0,0,56
"Stevie-Lee Thompson","ADEL",0,0,0,0,56
"Ashleigh Woodland","ADEL",0,0,0,0,46
"Teah Charlton","ADEL",1,0,0,0,45
"Hannah Button","ADEL",2,0,0,0,41
"Jasmine Simmons","ADEL",0,0,0,0,39
"Marijana Rajcic","ADEL",0,0,0,0,39
"Justine Mules","ADEL",0,0,0,0,38
"Sarah Allan","ADEL",0,0,3,3,36
"Chelsea Randall","ADEL",0,0,0,0,36
"Nikki Gore","ADEL",0,0,0,0,33
"Hannah Munyard","ADEL",0,0,0,0,28
"Danielle Ponter","ADEL",1,0,0,0,24
"Chelsea Biddell","ADEL",0,0,0,0,23
"Najwa Allen","ADEL",0,0,0,0,22
"Montana McKinnon","ADEL",4,14,0,0,20
"Deni Varnhagen","ADEL",0,0,0,0,0
"Jessica Sedunary","ADEL",0,0,0,0,0
"Angela Foley","ADEL",0,0,0,0,0
"Dayna Cox","ADEL",0,0,0,0,0
"Rhiannon Metcalfe","ADEL",0,0,0,0,0
"McKenzie Dowrick","ADEL",0,0,0,0,0
"Jasmyn Hewett","ADEL",0,0,0,0,0
"Lisa Whiteley","ADEL",0,0,0,0,0
"Abbie Ballard","ADEL",0,0,0,0,0
"Madison Newman","ADEL",0,0,0,0,0
"Ailish Considine","ADEL",0,0,0,0,0
"Zoe Prowse","ADEL",0,0,0,0,0
"Brooke Tonon","ADEL",0,0,0,0,0
"Orla O'Dwyer","BL",0,0,0,0,106
"Emily Bates","BL",11,0,0,0,75
"Alexandra Anderson","BL",7,0,0,0,64
"Sophie Conway","BL",0,0,0,0,63
"Shannon Campbell","BL",0,0,3,3,58
"Jade Ellenger","BL",0,0,0,0,55
"Natalie Grider","BL",0,0,0,0,54
"Jesse Wardlaw","BL",0,5,0,0,52
"Breanna Koenen","BL",0,0,0,0,50
"Taylor Smith","BL",6,20,0,0,48
"Greta Bodey","BL",0,0,0,0,45
"Isabel Dawes","BL",4,0,0,0,42
"Tahlia Hickie","BL",5,20,0,0,41
"Indy Tahau","BL",0,0,0,0,41
"Phoebe Monahan","BL",0,0,0,0,37
"Jessica Wuetschner","BL",0,0,0,0,36
"Catherine Svarc","BL",10,0,0,0,33
"Maria Moloney","BL",1,0,0,0,22
"Dakota Davidson","BL",0,0,0,0,19
"Courtney Hodder","BL",0,0,0,0,16
"Kate Lutkins","BL",0,0,0,0,2
"Sharni Webb","BL",0,0,0,0,0
"Lily Postlethwaite","BL",0,0,0,0,0
"Gabrielle Collingwood","BL",0,0,0,0,0
"Zimmorlei Farquharson","BL",0,0,0,0,0
"Ruby Svarc","BL",0,0,0,0,0
"Mikayla Pauga","BL",0,0,0,0,0
"Maggie Harmer","BL",0,0,0,0,0
"Bella Smith","BL",0,0,0,0,0
"Lucinda Pullar","BL",0,0,0,0,0
"Luka Yoshida-Martin","BL",0,0,0,0,0
"Breann Moody","CARL",11,35,0,0,71
"Madison Prespakis","CARL",9,0,0,0,56
"Abbie McKay","CARL",7,0,0,0,50
"Daisy Walker","CARL",0,0,0,0,48
"Lucy McEvoy","CARL",7,0,0,0,46
"Courtney Jones","CARL",0,0,0,0,45
"Gabriella Pound","CARL",0,0,3,3,43
"Lauren Brazzale","CARL",0,0,0,0,39
"Darcy Vescio","CARL",0,0,0,0,39
"Elise O'Dea","CARL",8,0,0,0,36
"Georgia Gee","CARL",0,0,0,0,35
"Jess Good","CARL",1,16,0,0,35
"Kerryn Harrington","CARL",0,0,3,3,29
"Nicola Stevens","CARL",0,0,0,0,27
"Vaomua Laloifi","CARL",0,0,2,2,25
"Grace Egan","CARL",3,0,0,0,22
"Jessica Dal Pos","CARL",2,0,0,0,21
"Brooke Walker","CARL",0,0,0,0,19
"Paige Trudgeon","CARL",0,0,0,0,16
"Annie Lee","CARL",0,0,0,0,9
"Natalie Plane","CARL",0,0,0,0,4
"Charlotte Wilson","CARL",0,0,0,0,0
"Madeline Guerin","CARL",0,0,0,0,0
"Charlotte Hammans","CARL",0,0,0,0,0
"Imogen Milford","CARL",0,0,0,0,0
"Brooke Vernon","CARL",0,0,0,0,0
"Serena Gibbs","CARL",0,0,0,0,0
"Mimi Hill","CARL",0,0,0,0,0
"Poppy Schaap","CARL",0,0,0,0,0
"Keeley Sherar","CARL",0,0,0,0,0
"Brooke Vickers","CARL",0,0,0,0,0
"Brittany Bonnici","COLL",12,0,0,0,96
"Jaimee Lambert","COLL",9,0,0,0,87
"Sarah Rowe","COLL",0,0,0,0,80
"Brianna Davey","COLL",11,0,0,0,77
"Ruby Schleicher","COLL",0,0,0,0,70
"Jordyn Allen","COLL",0,0,0,0,62
"Stephanie Chiocci","COLL",0,0,0,0,57
"Aishling Sheridan","COLL",0,0,0,0,54
"Alison Downie","COLL",10,24,0,0,42
"Lauren Butler","COLL",0,0,3,3,40
"Chloe Molloy","COLL",0,0,0,0,40
"Sophie Alexander","COLL",0,2,0,0,40
"Tarni Brown","COLL",2,0,0,0,39
"Eliza James","COLL",0,0,0,0,36
"Mikala Cann","COLL",2,0,0,0,31
"Erica Fowler","COLL",2,18,0,0,29
"Sophie Casey","COLL",0,0,0,0,24
"Sabrina Frederick","COLL",0,7,0,0,21
"Stacey Livingstone","COLL",0,0,4,1,18
"Ebony O'Dea","COLL",0,0,0,0,12
"Eloise Chaston","COLL",0,0,0,0,5
"Jordan Membrey","COLL",0,0,0,0,0
"Aliesha Newman","COLL",0,0,0,0,0
"Ashleigh Brazill","COLL",0,0,0,0,0
"Bella Smith","COLL",0,0,0,0,0
"Olivia Meagher","COLL",0,0,0,0,0
"Alana Porter","COLL",0,0,0,0,0
"Joanna Lin","COLL",0,0,0,0,0
"Abbi Moloney","COLL",0,0,0,0,0
"Amelia Velardo","COLL",0,0,0,0,0
"Imogen Purcell","COLL",0,0,0,0,0
"Imogen Barnett","COLL",0,0,0,0,0
"Kiara Bowers","FRE",10,0,0,0,123
"Hayley Miller","FRE",10,1,0,0,91
"Ebony Antonio","FRE",0,0,0,0,75
"Gabby O'Sullivan","FRE",8,0,0,0,73
"Stephanie Cain","FRE",0,0,0,0,66
"Ann McMahon","FRE",0,0,0,0,57
"Gemma Houghton","FRE",1,4,0,0,50
"Angelique Stannett","FRE",0,0,0,0,47
"Airlie Runnalls","FRE",0,0,0,0,45
"Mim Strom","FRE",10,47,0,0,45
"Laura Pugh","FRE",0,0,0,0,45
"Sarah Verrier","FRE",0,0,1,0,43
"Janelle Cuthbertson","FRE",0,0,2,2,41
"Dana East","FRE",3,0,0,0,41
"Tiah Toth","FRE",1,0,0,0,41
"Aine Tighe","FRE",1,30,0,0,39
"Emma O'Driscoll","FRE",0,0,0,0,29
"Jessica Low","FRE",0,0,0,0,21
"Matilda Sergeant","FRE",0,0,0,0,20
"Kara Antonio","FRE",0,0,0,0,19
"Makaela Tuhakaraina","FRE",0,0,0,0,19
"Ashley Sharp","FRE",0,0,0,0,0
"Sabreena Duffy","FRE",0,0,0,0,0
"Roxanne Roux","FRE",0,0,0,0,0
"Mikayla Hyde","FRE",0,0,0,0,0
"Philipa Seth","FRE",0,0,0,0,0
"Jasmin Stewart","FRE",0,0,0,0,0
"Mikayla Morrison","FRE",0,0,0,0,0
"Bianca Webb","FRE",0,0,0,0,0
"Sarah Wielstra","FRE",0,0,0,0,0
"Amy Franklin","FRE",0,0,0,0,0
"Maggie Maclachlan","FRE",0,0,0,0,0
"Jamie Stanton","GCFC",11,0,0,0,85
"Kalinda Howarth","GCFC",0,0,0,0,71
"Lauren Ahrens","GCFC",0,0,2,2,62
"Charlie Rowbottom","GCFC",7,0,0,0,56
"Lauren Bella","GCFC",9,54,0,0,55
"Kate Surman","GCFC",0,0,0,0,53
"Alison Drennan","GCFC",9,0,0,0,49
"Ellie Hampson","GCFC",4,0,0,0,49
"Elizabeth Keaney","GCFC",0,0,0,0,48
"Hannah Dunn","GCFC",0,0,3,2,44
"Claudia Whitfort","GCFC",5,0,0,0,44
"Daisy D'Arcy","GCFC",0,0,1,1,43
"Serene Watson","GCFC",0,0,0,0,42
"Vivien Saad","GCFC",0,0,0,0,32
"Sarah Perkins","GCFC",0,6,0,0,29
"Cheyenne Hammond","GCFC",0,0,0,0,28
"Jade Pregelj","GCFC",0,0,0,0,27
"Dee Heslop","GCFC",0,0,0,0,20
"Alana Barba","GCFC",0,0,0,0,18
"Jacqui Dupuy","GCFC",3,16,0,0,15
"Tara Bohanna","GCFC",0,2,0,0,10
"Brittany Perry","GCFC",0,0,0,0,0
"Janet Baird","GCFC",0,0,0,0,0
"Tori Groves-Little","GCFC",0,0,0,0,0
"Jacqui Yorston","GCFC",0,0,0,0,0
"Emma Pittman","GCFC",0,0,0,0,0
"Ashanti Bush","GCFC",0,0,0,0,0
"Wallis Randell","GCFC",0,0,0,0,0
"Annise Bradfield","GCFC",0,0,0,0,0
"Maddison Levi","GCFC",0,0,0,0,0
"Teagan Levi","GCFC",0,0,0,0,0
"Lucy Single","GCFC",0,0,0,0,0
"Giselle Davies","GCFC",0,0,0,0,0
"Shannon Danckert","GCFC",0,0,0,0,0
"Amy McDonald","GEEL",7,1,0,0,94
"Georgie Prespakis","GEEL",9,0,0,0,79
"Rebecca Webster","GEEL",10,0,0,0,72
"Nina Morrison","GEEL",1,0,0,0,52
"Madeline Keryk","GEEL",0,0,0,0,51
"Zali Friswell","GEEL",0,0,0,0,43
"Georgie Rankin","GEEL",0,0,0,0,40
"Julia Crockett-Grills","GEEL",3,0,0,0,38
"Olivia Fuller","GEEL",7,34,0,0,37
"Phoebe McWilliams","GEEL",0,0,0,0,36
"Rachel Kearns","GEEL",0,0,0,0,34
"Annabel Johnson","GEEL",0,0,0,0,33
"Chloe Scheer","GEEL",0,0,0,0,32
"Kate Darby","GEEL",3,25,0,0,29
"Chantel Emonson","GEEL",0,0,2,1,28
"Meghan McDonald","GEEL",0,0,0,0,26
"Madisen Maguire","GEEL",0,0,0,0,22
"Maddy McMahon","GEEL",0,0,0,0,20
"Sophie Van De Heuvel","GEEL",0,0,0,0,14
"Jordan Ivey","GEEL",0,0,0,0,14
"Claudia Gunjaca","GEEL",0,0,0,0,0
"Denby Taylor","GEEL",0,0,0,0,0
"Georgia Clarke","GEEL",0,0,0,0,0
"Millie Brown","GEEL",0,0,0,0,0
"Rene Caris","GEEL",0,0,0,0,0
"Renee Garing","GEEL",0,0,0,0,0
"Danielle Higgins","GEEL",0,0,0,0,0
"Stephanie Williams","GEEL",0,0,0,0,0
"Laura Gardiner","GEEL",0,0,0,0,0
"Olivia Barber","GEEL",0,0,0,0,0
"Darcy Moloney","GEEL",0,0,0,0,0
"Gabbi Featherston","GEEL",0,0,0,0,0
"Carly Remmos","GEEL",0,0,0,0,0
"Alicia Eva","GWS",10,0,0,0,107
"Alyce Parker","GWS",11,0,0,0,95
"Rebecca Beeson","GWS",6,0,0,0,79
"Haneen Zreika","GWS",0,0,0,0,67
"Tait Mackrill","GWS",0,0,0,0,54
"Lisa Steane","GWS",3,0,0,0,52
"Katherine Smith","GWS",0,0,0,0,52
"Ally Dallaway","GWS",0,0,0,0,49
"Rebecca Privitelli","GWS",0,0,0,0,48
"Pepa Randall","GWS",0,0,1,1,47
"Ally Morphett","GWS",6,43,0,0,47
"Georgia Garnett","GWS",0,0,0,0,44
"Louise Stephenson","GWS",0,0,1,1,43
"Cora Staunton","GWS",1,0,0,0,42
"Chloe Dalton","GWS",4,0,0,0,36
"Brid Stack","GWS",0,0,0,0,36
"Nicola Barr","GWS",1,0,0,0,30
"Katie Loynes","GWS",0,0,0,0,29
"Erin McKinnon","GWS",6,35,0,0,29
"Annalyse Lister","GWS",0,0,0,0,21
"Tanya Hetherington","GWS",0,0,0,0,14
"Jasmine Grierson","GWS",0,0,0,0,0
"Jessica Allan","GWS",0,0,0,0,0
"Emily Pease","GWS",0,0,0,0,0
"Tarni Evans","GWS",0,0,0,0,0
"Emily Goodsir","GWS",0,0,0,0,0
"Erin Lorenzini","GWS",0,0,0,0,0
"Libby Graham","GWS",0,0,0,0,0
"Brodee Mowbray","GWS",0,0,0,0,0
"Jessica Doyle","GWS",0,0,0,0,0
"Isadora McLeay","GWS",0,0,0,0,0
"Georgina Fowler","GWS",0,0,0,0,0
"Casidhe Simmons","GWS",0,0,0,0,0
"Tyla Hanks","MELB",9,0,0,0,97
"Eden Zanker","MELB",8,0,0,0,82
"Maddison Gay","MELB",9,0,0,0,72
"Libby Birch","MELB",0,0,0,0,68
"Lily Mithen","MELB",5,0,0,0,66
"Sarah Lampard","MELB",0,0,4,4,60
"Kate Hore","MELB",0,0,0,0,56
"Lauren Pearce","MELB",8,27,0,0,54
"Megan Fitzsimon","MELB",0,0,0,0,52
"Casey Sherriff","MELB",0,0,0,0,50
"Shelley Scott","MELB",0,0,0,0,43
"Eliza West","MELB",3,0,0,0,43
"Daisy Pearce","MELB",0,0,0,0,42
"Karen Paxman","MELB",5,0,0,0,36
"Tayla Harris","MELB",0,1,0,0,36
"Alyssa Bannan","MELB",0,1,0,0,33
"Jacqueline Parry","MELB",0,6,0,0,33
"Brenna Tarrant","MELB",0,0,0,0,26
"Shelley Heath","MELB",0,0,0,0,21
"Maggie Caris","MELB",5,28,0,0,19
"Alison Brown","MELB",0,0,0,0,10
"Olivia Purcell","MELB",0,0,0,0,0
"Gabrielle Colvin","MELB",0,0,0,0,0
"Tahlia Gillard","MELB",0,0,0,0,0
"Krstel Petrevski","MELB",0,0,0,0,0
"Isabella Simmons","MELB",0,0,0,0,0
"Maeve Chaplin","MELB",0,0,0,0,0
"Eliza McNamara","MELB",0,0,0,0,0
"Sinead Goldrick","MELB",0,0,0,0,0
"Georgia Campbell","MELB",0,0,0,0,0
"Lauren Magee","MELB",0,0,0,0,0
"Ashleigh Riddell","NMFC",7,0,0,0,113
"Jasmine Garner","NMFC",8,1,0,0,82
"Jenna Bruton","NMFC",7,0,0,0,81
"Kaitlyn Ashmore","NMFC",0,0,0,0,78
"Jasmine Ferguson","NMFC",0,0,1,1,65
"Jessica Duffin","NMFC",0,0,4,3,60
"Mia King","NMFC",6,0,0,0,58
"Emma King","NMFC",4,25,0,0,56
"Kimberley Rennie","NMFC",6,31,0,0,44
"Amy Smith","NMFC",0,0,0,0,42
"Danielle Hardiman","NMFC",0,0,1,1,41
"Aileen Gilroy","NMFC",0,0,0,0,35
"Sarah Wright","NMFC",0,0,0,0,33
"Isabella Eddey","NMFC",0,0,0,0,31
"Daisy Bateman","NMFC",0,0,0,0,29
"Nicole Bresnehan","NMFC",0,0,0,0,25
"Daria Bannister","NMFC",2,0,0,0,15
"Alice O'Loughlin","NMFC",0,0,0,0,15
"Grace Campbell","NMFC",0,0,0,0,15
"Tess Craven","NMFC",0,0,0,0,12
"Tahlia Randall","NMFC",0,3,0,0,10
"Brittany Gibson","NMFC",0,0,0,0,0
"Alexia Hamilton","NMFC",0,0,0,0,0
"Sophie Abbatangelo","NMFC",0,0,0,0,0
"Elisha King","NMFC",0,0,0,0,0
"Tara Slender","NMFC",0,0,0,0,0
"Perri King","NMFC",0,0,0,0,0
"Ella Maurer","NMFC",0,0,0,0,0
"Ellie Gavalas","NMFC",0,0,0,0,0
"Brooke Brown","NMFC",0,0,0,0,0
"Emma Kearney","NMFC",0,0,0,0,0
"Monique Conti","RICH",14,1,0,0,94
"Katie Brennan","RICH",7,1,0,0,77
"Gabrielle Seymour","RICH",8,32,0,0,71
"Meagan Kiely","RICH",7,1,0,0,57
"Tessa Lavey","RICH",1,0,0,0,53
"Courtney Wakefield","RICH",0,3,0,0,53
"Christina Bernardi","RICH",0,0,0,0,50
"Jess Hosking","RICH",0,0,1,1,49
"Sarah D'Arcy","RICH",0,0,0,0,42
"Rebecca Miller","RICH",0,0,2,1,40
"Sarah Hosking","RICH",10,0,0,0,40
"Maddy Brancatisano","RICH",12,0,0,0,36
"Poppy Kelly","RICH",9,22,0,0,36
"Kate Dempsey","RICH",0,0,0,0,34
"Emelia Yassir","RICH",0,0,0,0,29
"Harriet Cordner","RICH",0,0,0,0,28
"Stella Reid","RICH",0,0,0,0,28
"Tayla Stahl","RICH",0,0,0,0,27
"Maddie Shevlin","RICH",0,0,2,2,20
"Bethany Lynch","RICH",0,0,0,0,10
"Hannah Burchell","RICH",0,0,0,0,6
"Iilish Ross","RICH",0,0,0,0,0
"Sarah Dargan","RICH",0,0,0,0,0
"Hannah McLaren","RICH",0,0,0,0,0
"Kodi Jacques","RICH",0,0,0,0,0
"Meg Macdonald","RICH",0,0,0,0,0
"Sophie Molan","RICH",0,0,0,0,0
"Sarah Sansonetti","RICH",0,0,0,0,0
"Ellie McKenzie","RICH",0,0,0,0,0
"Laura McClelland","RICH",0,0,0,0,0
"Ingrid Houtsma","RICH",0,0,0,0,0
"Akec Makur Chuot","RICH",0,0,0,0,0
"Tarni White","STK",12,0,0,0,100
"Tilly Lucas-Rodd","STK",8,0,0,0,74
"Catherine Phillips","STK",0,0,0,0,66
"Rosie Dillon","STK",9,0,0,0,58
"Hannah Priest","STK",0,0,0,0,56
"Jayde Van Dyk","STK",0,0,0,0,56
"Olivia Vesely","STK",12,0,0,0,53
"Leah Cutting","STK",10,27,0,0,42
"Rhiannon Watt","STK",7,28,0,0,41
"Jessica Matin","STK",0,0,0,0,36
"Alana Woodward","STK",9,0,0,0,31
"Bianca Jakobsson","STK",0,0,1,1,29
"Renee Saulitis","STK",0,0,0,0,27
"Lucy Burke","STK",0,0,0,0,26
"Isabella Shannon","STK",0,0,0,0,25
"Darcy Guttridge","STK",0,0,0,0,23
"Caitlin Greiser","STK",0,3,0,0,19
"Rebecca Ott","STK",0,0,0,0,17
"Kate McCarthy","STK",0,0,0,0,15
"Alice Burke","STK",0,0,0,0,13
"Jacqui Vogt","STK",1,1,0,0,3
"Nat Exon","STK",0,0,0,0,0
"Kate Shierlaw","STK",0,0,0,0,0
"Georgia Patrikios","STK",0,0,0,0,0
"Molly McDonald","STK",0,0,0,0,0
"Tahlia Meyer","STK",0,0,0,0,0
"Tyanna Smith","STK",0,0,0,0,0
"Ashleigh Richards","STK",0,0,0,0,0
"Ella Friend","STK",0,0,0,0,0
"Nicola Xenos","STK",0,0,0,0,0
"Paige Price","STK",0,0,0,0,0
"Ellie Blackburn","WB",10,0,0,0,93
"Kirsty Lamb","WB",2,0,0,0,65
"Bonnie Toogood","WB",0,2,0,0,64
"Naomi Ferres","WB",0,0,7,6,62
"Elle Bennetts","WB",10,0,0,0,57
"Elisabeth Georgostathis","WB",8,0,0,0,55
"Brooke Lochland","WB",0,0,0,0,53
"Britney Gutknecht","WB",0,0,0,0,49
"Celine Moody","WB",9,27,0,0,43
"Eleanor Brown","WB",0,0,0,0,38
"Elizabeth Snell","WB",0,0,0,0,35
"Isabelle Pritchard","WB",0,0,0,0,32
"Richelle Cranston","WB",0,1,0,0,31
"Nell Morris-Dalton","WB",0,0,0,0,30
"Isabella Grant","WB",0,0,0,0,27
"Ashleigh Guest","WB",0,0,3,3,27
"Jessica Fitzgerald","WB",5,0,0,0,26
"Gemma Lagioia","WB",0,0,0,0,22
"Alice Edmonds","WB",4,31,0,0,20
"Isabel Huntington","WB",0,0,0,0,19
"Amanda Ling","WB",4,0,0,0,18
"Hannah Scott","WB",0,0,0,0,0
"Ellyse Gamble","WB",0,0,0,0,0
"Bailey Hunt","WB",0,0,0,0,0
"Kirsten McLeod","WB",0,0,0,0,0
"Gabby Newton","WB",0,0,0,0,0
"Katie Lynch","WB",0,0,0,0,0
"Annabel Strahan","WB",0,0,0,0,0
"Aurora Smith","WB",0,0,0,0,0
"Sarah Hartwig","WB",0,0,0,0,0
"Deanna Berry","WB",0,0,0,0,0
"Emma Swanson","WCE",10,1,0,0,90
"Maddy Collier","WCE",0,0,0,0,68
"Kellie Gibson","WCE",5,4,0,0,51
"Belinda Smith","WCE",0,0,0,0,50
"Mikayla Bowen","WCE",0,0,0,0,49
"Parris Laurie","WCE",10,60,0,0,47
"Andrea Gilmore","WCE",0,16,0,0,46
"Aisling McCarthy","WCE",9,0,0,0,41
"Grace Kelly","WCE",0,2,0,0,41
"Niamh Kelly","WCE",0,0,0,0,35
"Charlotte Thomas","WCE",0,0,0,0,34
"Evangeline Gooch","WCE",0,0,2,2,33
"Ashlee Atkins","WCE",1,0,0,0,33
"Dana Hooker","WCE",0,0,0,0,30
"Melissa Caulfield","WCE",0,0,0,0,30
"Imahra Cameron","WCE",0,0,0,0,28
"Amber Ward","WCE",0,0,3,3,24
"Isabella Lewis","WCE",9,0,0,0,23
"Aimee Schmidt","WCE",0,0,0,0,22
"Courtney Guard","WCE",0,0,0,0,20
"Tayla Bresland","WCE",0,0,2,2,16
"Ashton Hill","WCE",0,0,0,0,0
"Hayley Bullas","WCE",0,0,0,0,0
"Sophie McDonald","WCE",0,0,0,0,0
"Emily Bennett","WCE",0,0,0,0,0
"Lauren Gauci","WCE",0,0,0,0,0
"Courtney Rowley","WCE",0,0,0,0,0
"Beth Schilling","WCE",0,0,0,0,0
"Shanae Davison","WCE",0,0,0,0,0
"Sarah Lakay","WCE",0,0,0,0,0
